id,title,body,date_created,date_updated,author,categories,summary,image,featured,secondaryFeatured,draft
39,Cover Letter Generator,"<p>This is a cover letter generator I&#39;m using personally. I will update it eventually so others can use it as well. All it does is take in the elements of the form and recreates it in HTML and allow you to download a PDF version. For practical purposes it&#39;s not that interesting but it was fun to make. For future updates, I&#39;d make it more flexible to allow people to edit the text and how they want to structure the text. I could dynamically generate the form if the user wants to add more inputs. I would enable user auth so people could save their generator, or store it in localStorage. I could provide a variety of templates (basically would just need to create different CSS files). And I would need to generate signatures dynamically. I would like to utilize some AI to create company-specific keywords but not sure if something like that is easily accessible.</p>

<p>The key challenges to making it was generating the PDF. At first I was using ReportLab (I&#39;m using Python backend) but then I switched over to WeasyPrint because it was a lot easier to convert HTML to PDF. WeasyPrint does take a while, especially with styling, so it has its downfalls. Another tricky part was being able to download the FileResponse from Django on the frontend, as you typically can&#39;t download files via XHR request. This was gotten around by creating a new link in the DOM, clicking it, and removing the link.</p>

<div id=""root"">&nbsp;</div>
<script>
      var csrftoken = '{{ csrf_token }}';
    </script><script
      src=""https://unpkg.com/react@18/umd/react.development.js""
      crossorigin
    ></script><script
      src=""https://unpkg.com/react-dom@18/umd/react-dom.development.js""
      crossorigin
    ></script><script
      src=""https://unpkg.com/react-dom@18.2.0/umd/react-dom-server-legacy.browser.development.js""
      crossorigin
    ></script><script
      src=""https://unpkg.com/babel-standalone@6/babel.min.js""
      crossorigin
    ></script><script src=""/static/js/cover_letter_generator/script.js"" type=""text/babel""></script>",2022-08-31 07:08:17,2022-08-31 07:17:56,1,"1,4,12","No one ever knows whether a well-written cover letter actually helps you to get a job or not. Some people ignore it completely, whereas others make sure to spend the appropriate time for jobs they care about. Here's my approach to cover letters.",https://images.pexels.com/photos/48195/document-agreement-documents-sign-48195.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,0,0,1
38,An online version of the classic working memory n-back task,"<div class=""buttonContainer""><a class=""button"" href=""/twoback"">Take assessment</a></div>

<h1>Working memory</h1>

<p><a href=""/27"">Back to Executive functions</a></p>

<p>Working memory is an executive function which holds information temporarily. It is similar to short-term memory (and previously was referred to as such), but focuses on the capacity for also manipulating information rather than simply the storage of it. The term &quot;working memory&quot; was coined by Miller, Galanter, and Pribram in the 1960s in the context of theories&nbsp;comparing the function of the brain to that of a computer. In computer terms, working memory might be seen as a combination of parts of the computer&#39;s random access memory (RAM) and central processing unit (CPU), whereas long-term memory might be seen as a mass storage device such as our hard disk drive (HDD).</p>

<p>One of the main models of working memory is the working memory model proposed by Baddeley and Hitch in 1974, which suggests that working memory is a central executive which oversees a phonological loop, a visouspatial sketchpad, and a episodic buffer. The phonological loop stores sounds and prevents its decay by continuously refreshing in a rehearsal loop (eg. saying a phone number in your head repeatedly to remember it). The visuospatial sketchpad constructs and manipulates mental maps. The episodic buffer integrates phonological, visual, and spatial information, as well as information from other systems, such as semantic and musical information, and links the working memory to long-term memory. It is termed an episodic buffer because it binds information from temporary storage to a unitary episodic representation.</p>

<h1>The n-back task</h1>

<p>The n-back task is a continuous performance task used to assess working memory. The task was introduced by Wayne Kirchner in 1958, and involves presenting a sequence of stimuli (in this case letters). The participant is supposed to indicate when the stimulus presented is the exact same stimulus as the one presented &quot;n&quot; steps earlier. For example, if the task is a 1-back task, then n=1, and the participant is instructed to respond whenever the previous letter was the same as the current letter. If the task is a 2-back task, then n=2, and then participant is instructed to respond whenever the letter presented two stimuli ago is the same as the current letter. As the number of stimuli increases, this increases a demand on the participants&#39; working memory, and the memory buffer must be updated continuously. The dual n-back task is a common variation which presents two different stimuli at the same time. The n-back task is frequently used to measure and train fluid intelligence, though the task&#39;s external validity is not proven. The n-back task is also used in clinical and educational settings to improve general cognitive processing. The assessment linked from this page is a 2-back task.</p>

<h2>Your results</h2>

<div id=""results"">&nbsp;</div>
<script type=""text/javascript"">
const results = document.getElementById(""results"");
if (results) {
results.innerHTML = `Your latest score was at the ${(localStorage.getItem('twoback')*1).toFixed(0)}th percentile.`;} else {
results.innerHTML = ""Your personal results for completed tasks will appear here."";}
</script>

<h2>References</h2>

<ol>
	<li>KIRCHNER WK. Age differences in short-term retention of rapidly changing information. J Exp Psychol. 1958 Apr;55(4):352-8. doi: 10.1037/h0043688. PMID: 13539317.</li>
</ol>",2022-08-27 21:52:20,2022-08-28 04:26:25,1,11,"Our mind's ability to store and manipulate information is a key determinant to its processing power. This capacity, termed working memory in the context of cognitive science, can be tested using the n-back task.",https://images.pexels.com/photos/185933/pexels-photo-185933.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,0,0,0
37,An online test of inhibitory control with the Go/no-go task,"<div class=""buttonContainer""><a class=""button"" href=""/gonogo"">Take assessment</a></div>

<h1>Inhibitory control</h1>

<p><a href=""/27"">Back to Executive functions</a></p>

<p>Inhibitory control, also known as response inhibition, is an executive function that permits an individual to inhibit their inpulses in order to select a more appropriate behavior. It is the foundation of self control, and includes two aspects: motor response inhibition and interference control. Motor responsive inhibition, which is tested with the Go/no-go task, involves the inhibition of automatic motor responses, and can be further differentiated into action restraint (or action suppression) and action cancelation. Inhibitory control, overall, is an operationalization of impulsivity and compulsivity. Impulsivity is the tendency to act on impulses, creating actions that seem almost involuntary. Compulsivity is the tendency to repeat specific behaviors and failing to inhibit the behavior when it is no longer appropriate.</p>

<p>Interference control, which might be tested with the Stroop task (link here), deals with the interference between learned patterns and new patterns. Inhibitory control adds on top of that the cognitive process of stopping an action while that action is already being carried out. Together, they allow our minds to adapt and respond to our environment more effectively.&nbsp;</p>

<p>Understanding inhibitory control is key to understanding the cause of many psychiatric and personality disorders. Based on our past experiences and our present environments, we may almost involuntary perform some action (lash out at people we care about, or fall back an addiction on drugs or alcohol). Having some kind of overarching system in our mind that can put a stop to our &quot;natural&quot; response to pain, stress, fear, etc. can help us build resilience. I believe that inhibitory control is something that can be trained, and is a very important skill in sports and performing arts, where you need to be able to make fast decisions but also must avoid costly mistakes to prevent injury. In a way, I see it as an opposite task to vigilance (link here). In vigilance, you want to be hyperresponsive and fast. In inhibitory control, you want to be patient and slow. A combination of the two is required for effective performance, but it&#39;s hard to find that</p>

<h1>The Go/no-go task</h1>

<p>The Go/no-go task is a test used to assess inhibitory control by having the participant rapidly and repeatedly respond to a stimulus, but then withold their response after a stop signal. It is an &quot;easier&quot; form of the Stop-signal task, which is the same except that the stop signal only appears after the go signal appears. The task was first discussed by Donders in 1969, and implemented by Gordon and Caramazza in 1982 in a lexical decision task. Since then, studies have investigated the effect of the percentage of stop signals and the speed at which trials are served in order to create an effective motor response. The more rare the stop signals, and the faster the trial interval, the more difficult it is to stop a response when instructed.</p>

<h2>Your results</h2>

<div id=""results"">&nbsp;</div>
<script type=""text/javascript"">
const results = document.getElementById(""results"");
if (results) {
results.innerHTML = `Your latest score was at the ${(localStorage.getItem('gonogo')*1).toFixed(0)}th percentile.`;} else {
results.innerHTML = ""Your personal results for completed tasks will appear here."";}
</script>

<h2>References</h2>

<ol>
	<li>van Velzen LS, Vriend C, de Wit SJ, van den Heuvel OA. Response inhibition and interference control in obsessive-compulsive spectrum disorders. Front Hum Neurosci. 2014 Jun 11;8:419. doi: 10.3389/fnhum.2014.00419. PMID: 24966828; PMCID: PMC4052433.</li>
	<li>https://www.flexiblemeasures.com/nogo/</li>
</ol>",2022-08-27 20:59:13,2022-08-28 04:26:29,1,11,"Our mind's inhibitory control is key factor to navigating a complex, changing, and potentially dangerous environment. Try out our online task to see how good you are at holding back.",https://images.pexels.com/photos/39080/stop-shield-traffic-sign-road-sign-39080.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,0,0,0
36,The classic Stroop task online to determine interference control,"<div class=""buttonContainer""><a class=""button"" href=""/stroop"">Take assessment</a></div>

<h1>Interference control</h1>

<p><a href=""/27"">Back to Executive functions</a></p>

<p>Interference theory is a theory in discussions of human memory regarding the conflict between someone&#39;s long-term memory and their short-term memory during the process of learning. Its first study began with John A. Bergstrom in 1892, who demonstrated that learning one set of instructions interfered with the learning of newer instructions. In a sense, it is the study of the phrase, &quot;You can&#39;t teach an old dog new tricks.&quot; There are two types of interference: proactive and retroactive interference. In proactive interference, older memories interfere with the retrieval of newer memories. In retroactive interference, new memories interfere with the retrieval of older memories. Interference control is a related concept in cognitive science that looks at the mind&#39;s ability to prevent interference due to competition of relevant and irrelevant stimuli. The Stroop task, the Flanker task, and the Simon task are all classic tests of interference control.</p>

<p>Personally, I think interference control is incredibly important in the investigation on the mental processes that lead to learned hopelessness, a common theme of psychiatric disorders such as depression and PTSD. People typically have a hard time letting go over past memories, and those memories cause a drastic interference in their everyday lives, even after they have been removed from the environment which caused those memories. By better understanding how this interference occurs in the brain, we can perhaps improve the flexibility of our mind when needed.</p>

<h1>The Stroop task</h1>

<p>The Stroop effect is a concept in psychology that describes the delay in reaction time between congruent and incongruent stimuli. The classic experiment was published by John Ridley Stroop in 1935. In his experiments, he wrote down the names of various colors in black ink, in congruent ink (the same color as the name), and in incongruent ink (different ink than that defined in the name). For example, he might have the word &quot;Purple&quot; written in green ink; this was an incongruent word. As expected, he found that the incongruent words caused a drastic delay in the ability for participants to read the words. He explained such an interference due to the automatic processing of the mind on the semantic meaning of the word. When there was an incongruency, that automaticity interfered with the task at hand (identifying the color). Essentially, people are so used to reading and understanding the meaning behind symbols that it can interfere with the actual objective of the onlooker. This procedure of naming colors of incompatible words has been heavily used in the study of interference theory, as our ability to understand the meaning of words causes semantic interference of identifying the actual properties of the words themselves.</p>

<h2>Your results</h2>

<div id=""results"">&nbsp;</div>
<script type=""text/javascript"">
const results = document.getElementById(""results"");
if (results) {
results.innerHTML = `Your latest score was at the ${(localStorage.getItem('stroop')*1).toFixed(0)}th percentile.`;} else {
results.innerHTML = ""Your personal results for completed tasks will appear here."";}
</script>

<h2>References</h2>

<ol>
	<li>van Velzen LS, Vriend C, de Wit SJ, van den Heuvel OA. Response inhibition and interference control in obsessive-compulsive spectrum disorders. Front Hum Neurosci. 2014 Jun 11;8:419. doi: 10.3389/fnhum.2014.00419. PMID: 24966828; PMCID: PMC4052433.</li>
</ol>",2022-08-27 19:01:06,2022-08-28 04:26:33,1,11,The Stroop task is a classic psychology experiment in the study of our mind's ability to control our past experiences to allow us to be open to newer experiences.,https://images.pexels.com/photos/186537/pexels-photo-186537.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,0,0,0
34,The importance of mental Task Switching to develop cognitive flexibility; an Online Test,"<div class=""buttonContainer""><a class=""button"" href=""/task_switching"">Take assessment</a></div>

<h1>Task switching</h1>

<p><a href=""/27"">Back to Executive functions</a></p>

<p>Task switching, or set-shifting, is an executive function involving the ability to unconsciously shift attention between one task and another. It serves a similar function to cognitive shifting, which is the conscious change in attention. Together, these two functions represent the cognitive flexibility concept. Task switching involves the rapid and efficient adaptation to different situations, and is an often studied cognitive function, in part due to its difficulty. The need to switch between &#39;task-sets&#39; or &#39;schema&#39; comes at a drastic cost for mental resources. However, most scenarios in life require a responsiveness to a changing environment.</p>

<p>In the past, I went through therapy for over-control, so the concept of task switching is quite important to me. I am a very objective-focused person, so when I set out to complete a task, I only think about that one task until that task is completed. In the recent years, I have worked to improve my cognitive flexibility, but there is a large tradeoff. When you ask someone to &quot;commit&quot; to something, you&#39;re asking them to forgo flexibility for rigidity. However, to accomplish most tasks in life, we require some amount of flexibility. If we&#39;re not able to adapt to a changing environment,&nbsp;we can develop maladaptive behaviors, such as those often found in psychiatric populations. However, the difficulty in task switching is not found just in those with cognitive rigidity, but in everyone. Many people find the hassle of social environments such as school and work overwhelming because of the constant interruptions caused by, say, a phone ringing or an email needing to be read. Or some people might find the nagging of family members disrupting of their work. Whenever there is an intrusion in our task &quot;flow,&quot; it causes severe damage to our efficiency in our original task. Certain careers, such as scientists or authors, that require long extensive periods of time thinking about a certain concept, are most drastically affected. In my personal belief, it is important for people to establish a task focus and attempt to filter out all distractions, until an objective is met&mdash;to be rigid&mdash;in order to stay efficient. However, they should be aware of the opportunity cost of that rigidity.</p>

<h1>The Task switching paradigm</h1>

<p>The task switching paradigm was first developed in 1927 by Jersild, who had participants complete one task, and then would have them perform different tasks in rapid alternation, and he studied the detrimental effect of task switching on overall performance. However, at that time, the time cost of task switching was difficult to measure. The concept was further developed by cognitive scientists Rogers and Monsell in 1995, who proposed that alternation trials placed high demand on working memory because subjects had to keep memory of different tasks.&nbsp;</p>

<h2>Your results</h2>

<div id=""results"">&nbsp;</div>
<script type=""text/javascript"">
const results = document.getElementById(""results"");
if (results) {
results.innerHTML = `Your latest score was at the ${(localStorage.getItem('task_switching')*1).toFixed(0)}th percentile.`;} else {
results.innerHTML = ""Your personal results for completed tasks will appear here."";}
</script>

<h2>References</h2>

<ol>
	<li>Monsell S. Task switching. Trends Cogn Sci. 2003 Mar;7(3):134-140. doi: 10.1016/s1364-6613(03)00028-7. PMID: 12639695.</li>
</ol>",2022-08-27 18:08:43,2022-08-28 04:26:41,1,11,Task switching is an important topic of cognitive science due to the ubiquity of shifts in attention we experience in everyday life. Just how difficult is it to switch between different tasks rapidly?,https://images.pexels.com/photos/2952834/pexels-photo-2952834.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,0,0,0
33,How fast can you find something? An online Visual Search task,"<div class=""buttonContainer""><a class=""button"" href=""/visual_search"">Take assessment</a></div>

<h1>Visual search</h1>

<p><a href=""/27"">Back to Executive functions</a></p>

<p>Visual search is a commonly tested perceptual task that requires the active scanning of a visual environment to locate a particular object or feature (the target) amongst other objects and features (distractions). Visual search can take place with or without eye movements. Practical examples of visual search can be seen in everyday life, such as picking out a product on a supermarket shelf, searching for a lost item, or trying to identify faces amongst a crowd. The psychology of visual search is relevant to many fields, such as studies investigating how positioning of objects on a supermarket shelf may help or distract consumers from finding a product quickly. Visual search tasks also help marketers figure out what types of features &#39;pop out&#39; from their surroundings and are most likely to attract people scanning through products. Understanding the cognitive processes underlying human visual search also enable advances in computer vision algorithms.</p>

<p>In this task, you will be presented with an array of various colors, with the objective of detecting the black dot. This type of visual search is called feature search, or disjunctive search. The attractiveness of the pop out feature from an array of distractors and how it affects our cognitive processing is known as the &quot;saliency&quot; or the feature. Depending on variables such as the saliency of the feature and the size of the array, our minds may use either a serial or a parallel search method.</p>

<h2>Your results</h2>

<div id=""results"">&nbsp;</div>
<script type=""text/javascript"">
const results = document.getElementById(""results"");
if (results) {
results.innerHTML = `Your latest score was at the ${(localStorage.getItem('visual_search')*1).toFixed(0)}th percentile.`;} else {
results.innerHTML = ""Your personal results for completed tasks will appear here."";}
</script>

<h2>References</h2>

<ol>
	<li>Allen L. Nagy and Robert R. Sanchez, &quot;Critical color differences determined with a visual search task,&quot; J. Opt. Soc. Am. A&nbsp;<b>7</b>, 1209-1217 (1990)</li>
</ol>",2022-08-27 08:10:21,2022-08-28 04:26:46,1,11,Take an automated online Visual search task to see how quickly you can locate a target within an array of stimuli.,https://images.pexels.com/photos/319930/pexels-photo-319930.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,0,0,0
32,"How good are you at counting, exactly? An online Subitizing task","<div class=""buttonContainer""><a class=""button"" href=""/subitizing"">Take assessment</a></div>

<h1>The Subitizing task</h1>

<p><a href=""/27"">Back to Executive functions</a></p>

<p>The subitizing task was a test of enumeration developed in 1949 by E.L. Kaufman et al., and the word itself describes the feeling of immediately knowing how many items lie within a visual scene. It refers to&nbsp;the ability to discriminate the number of objects in a set without actually counting the number of objects one by one. In their experiment, Kaufman et al. presented groups of dots projected on a large screen, and participants were instructed to report the number of dots flashed on the screen, emphasizing either speed or accuracy. The results of their experiments led them to propose that people are generally able to count, or <em>subitize</em>, numbers of objects fewer than 6; on the other hand, people are only able to <em>estimate </em>numbers of objects greater than 6. Further studies have elucidated that people generally have trouble subitizing numbers larger than four without utilizing chunking, the process of breaking up large numbers into a smaller number of groups. Judgments made for one to four items are typically rapid, accurate, and confident, whereas every additional item adds a significant delay to reaction time and a drastic drop in accuracy.</p>

<p>Understanding the subitizing process is important for the education of mathematics in young children; being able to quickly imagine and conceptual small sets of numbers is vital to performing mental operations on them. However, subitizing is also quite important for any process requiring quick, confident judgments. Improving our ability to perceive, process, and respond to sudden changes in patterns, and being able to make a more accurate guess, can mean the difference between life in death in a wide variety of scenarios, such as the prevention of motor vehicle accidents. These quick judgments of numbers is also relevant in gambling (dice, dominos, cards) and in science (data visualization, pattern detection).</p>

<h2>Your results</h2>

<div id=""results"">&nbsp;</div>
<script type=""text/javascript"">
const results = document.getElementById(""results"");
if (results) {
results.innerHTML = `Your latest score was at the ${(localStorage.getItem('subitizing')*1).toFixed(0)}th percentile.`;} else {
results.innerHTML = ""Your personal results for completed tasks will appear here."";}
</script>

<h2>References</h2>

<ol>
	<li>KAUFMAN EL, LORD MW. The discrimination of visual number. Am J Psychol. 1949 Oct;62(4):498-525. PMID: 15392567.</li>
</ol>",2022-08-27 04:34:23,2022-08-28 04:26:50,1,11,"Take an automated online Subitizing task to test your ability to enumerate, or determine the number of, a set of objects quickly.",https://images.pexels.com/photos/1314543/pexels-photo-1314543.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,0,0,0
31,An online Mental Rotation Task to assess spatial reasoning,"<div class=""buttonContainer""><a class=""button"" href=""/rotation"">Take assessment</a></div>

<h1>Spatial reasoning</h1>

<p><a href=""/27"">Back to Executive functions</a></p>

<p>Spatial reasoning is the capacity to interact with visual and spatial relations among objects and space, and is a vital cognitive skill for everyday use from navigation, understanding and fixing equipment, and approximation and measurement of distances. Spatial reasoning includes four types of spatial abilities: visuo-spatial perception, spatial visualization, mental folding, and mental rotation. Mental rotation, specifically, is the ability to manipulate and rotate 2D or 3D objects in space quickly and accurately. Mental rotation helps people visualize objects, useful in many contexts such as mathematics, sciences, and engineering, and is employed frequently in sports psychology as well as in playing video games. For example, the game Tetris is a perfect example of a mental rotation test. Jigsaw puzzles and Rubik&#39;s cube are also activities that require a high level of mental rotation and that can be practiced to improve spatial ability over time. Mental rotation, compared to other spatial reasoning skills, is more heavily linked to motor stimulation in the brain.</p>

<h1>Mental rotation task (MRT)</h1>

<p>In a mental rotation task, objects are displayed next to each other and the participant is instructed to quickly determine whether or not the objects are rotated copies of each other. Performance typically falls as the angle of rotation between the images increases. Sex differences in mental rotation are one of the most strongly observed sex differences in cognitive science. The original task, developed by Stephen Vandenberg and Allan Kuse in 1978, used 3D figures, but subsequent studies have frequently employed 2D images.</p>

<h2>Your results</h2>

<div id=""results"">&nbsp;</div>
<script type=""text/javascript"">
const results = document.getElementById(""results"");
if (results) {
results.innerHTML = `Your latest score was at the ${(localStorage.getItem('rotation')*1).toFixed(0)}th percentile.`;} else {
results.innerHTML = ""Your personal results for completed tasks will appear here."";}
</script>

<h2>References</h2>

<ol>
	<li>Vandenberg SG, Kuse AR. Mental rotations, a group test of three-dimensional spatial visualization. Percept Mot Skills. 1978 Oct;47(2):599-604. doi: 10.2466/pms.1978.47.2.599. PMID: 724398.</li>
</ol>",2022-08-27 00:41:34,2022-08-28 04:27:02,1,11,Take an automated online Mental rotation task to test your spatial reasoning and ability to manipulate mental images quickly.,https://images.pexels.com/photos/5063474/pexels-photo-5063474.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,0,0,0
30,An online Mackworth Clock Test to assess vigilance,"<div class=""buttonContainer""><a class=""button"" href=""/clock"">Take assessment</a></div>

<h1>Vigilance</h1>

<p><a href=""/27"">Back to Executive functions</a></p>

<p>Vigilance, or alertness, in modern psychology refers to sustained concentration, the ability to maintain concentrated attention over prolonged periods of time. In cognition, it is the part of active attention where one maintains a high level of awareness and is quick to react to changes. The study of vigilance started in the 1940s due to the increased interaction of people with machines for applications involving monitoring and detection of rare events and weak signals. Such applications include air traffic control, inspection and quality control, automated navigation, military and border surveillance, and lifeguarding.</p>

<h1>Mackworth Clock Test</h1>

<p>The Mackworth Clock Test (MCT) was a clock-like mechanical device that had a clock hand that advances in discrete jumps every second; at irregular intervals, the clock hand advances a double jump, and successful performance on the MCT was scored by an immediate response to that signal. The test was designed in 1948 by Norman Mackworth, a British psychologist and cognitive scientist recruited by the Royal Air Force to study the ability of radar operators to maintain vigilance. In an article titled, &quot;Vigilance requires hard mental work and is stressful,&quot; Mackworth used the test to determine that prolonged attention significantly deteriorated over 30 minutes to 2 hours. This finding led to the length of operator duty shifts being severely reduced.</p>

<h2>Your results</h2>

<div id=""results"">&nbsp;</div>
<script type=""text/javascript"">
const results = document.getElementById(""results"");
if (results) {
results.innerHTML = `Your latest score was at the ${(localStorage.getItem('clock')*1).toFixed(0)}th percentile.`;} else {
results.innerHTML = ""Your personal results for completed tasks will appear here."";}
</script>

<h2>References</h2>

<ol>
	<li>Lichstein KL, Riedel BW, Richman SL. The Mackworth Clock Test: a computerized version. J Psychol. 2000 Mar;134(2):153-61. doi: 10.1080/00223980009600858. PMID: 10766107.</li>
</ol>",2022-08-26 05:51:31,2022-08-28 04:27:07,1,11,"Take the Mackworth Clock Test, designed in the 1940s as a test for sustained concentration in radar operators in the British Royal Air Force, online.",https://images.pexels.com/photos/1028741/pexels-photo-1028741.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,0,0,0
29,"AI is the new Echo Rhythm, and the Chinese Room scenario","<p>So I fell asleep watching a video about creating<a href=""https://www.youtube.com/watch?v=Rs_rAxEsAvI&amp;t=7873s&amp;ab_channel=freeCodeCamp.org"" target=""_blank""> a self-driving car using plain JavaScript</a> and also just binge watched almost the entirety of Hunter x Hunter, so when I woke up I had the wonderful shower thought that the parallelization process of using a machine learning algorithms such as an artificial neural network to solve a puzzle is quite similar to those anime scenes where the character produces multiple clones of themselves and then uses all their clones to attack the enemy at the same time. The idea is that no one clone is strong enough or fast enough to hit the enemy, but that&rsquo;s fine if you&rsquo;re capable of just making more and more clones until the enemy is defeated. Artificial intelligence can attempt to create intelligent systems by giving each of these clones a &ldquo;brain,&rdquo; identifying the best brains, and then storing those brains permanently to use as the template for the next generation of clones, thereby creating a genetic algorithm.</p>

<div class=""image""><img src=""https://compsciblog.s3.us-west-1.amazonaws.com/echorhythm.webp"" />
<div class=""caption"">Killua&#39;s Echo Rhythm from Hunter x Hunter</div>
</div>

<div class=""image""><img src=""https://compsciblog.s3.us-west-1.amazonaws.com/self_driving_car.webp"" style=""height: 312px; width: 400px;"" />
<div class=""caption"">Self-driving car built with JavaScript</div>
</div>

<p>But what is intelligence? The computer science field of intelligent systems, or <strong>artificial intelligence (AI), simply is the study of how a system can solve difficult problems</strong>. Although I have only started being exposed to AI, it has always been a source of fascination to me, and I would imagine many others. With my background in neuroscience and neuropsychiatry, I have a slight understanding of how the mind works, but our investigations of the human brain are still extremely limited. Most neuroimaging methods are top-down in the sense that we observe what the mind is capable of, but have no good way of figuring out how this functionality works. The other way we can figure out how it works is through math, in a sense that Wolfram pushed, which was, for example, looking at <strong>cellular automata</strong>, and seeing the mathematical constructs that may lead to intelligent behavior. However, everything in between the mathematical laws of nature and human consciousness is a vast valley left to be explored.</p>

<h1>The Turing Test</h1>

<p>Can computers really be intelligent? This same question was brought up famously by<strong> Alan Turing</strong>, who wrote in 1950, &ldquo;I propose to consider the question<strong> </strong><em>&lsquo;can machines think&rsquo;?&rdquo;</em> I think this question has enthralled so many of us growing up in the time period of computers, and this question has inset perhaps a deep-seated fear that, rather than machines being able to think like us humans, that we humans, are in fact, just machines. The Turing test, or the imitation game, is a test of a machine&rsquo;s ability to exhibit behavior equivalent to that of a human. Turing proposed that if an evaluator could not tell a machine&rsquo;s text-only responses from that of a human, then the machine had passed the Turing test. This hypothetical game is the starting point to the area of the philosophy of artificial intelligence, in which important questions are:</p>

<ul>
	<li>Is the human brain essentially a computer?</li>
	<li>Can a computer have consciousness? Can a computer feel?</li>
</ul>

<p>In 1956, <strong>the Dartmouth workshop </strong>summed up the basic position of most AI researchers in the statement that <em>&ldquo;Every aspect of learning or any other feature of intelligence can be so precisely described that a machine can be made to simulate it.&rdquo;</em> In order to disprove this, one must demonstrate either a practical limit of computers or present a special quality of the human mind that cannot be duplicated by a machine.</p>

<p>Now, one might say that there have been plenty of machines that may have passed a Turing test, in that people might mistake a computer-generated response as a human. A great example is that of the recent news about Blake Lemoine, a software engineer at Google who was fired because he disclosed confidential information about LaMDA, the company&rsquo;s AI system for chatbots, after he determined that LaMDA had achieved sentience. Many other experts rejected his claims, stating that a language model that simply takes in input and produces an output, despite the output being human-like, cannot be &ldquo;intelligent,&rdquo; some asking the question, &ldquo;Can a Python function have feelings?&rdquo; However, when we compare this to Turing&rsquo;s original test, if a software engineer and computer scientist like Lemoine is concerned to the degree of human-like behavior, I personally think it&rsquo;s likely that were Alan Turing observing the progress in AI today, he would be remarkably shocked and understandably concerned.</p>

<h1>The Chinese Room thought experiment</h1>

<p>The Chinese room argument argues against the concept that intelligence can be simulated by a machine; instead, it states that no matter how human-like the program may behave, a computer cannot have a mind in the same sense that human beings have minds. This argument was presented by John Seale, best known for his work in philosophy of language, and goes as such:</p>

<p>Imagine a closed room with only two slits. In one slit, you put in some text written in English, and after a while, the text is returned from the other slit, now written in Chinese. Understandably, one might suppose that there might be a person in the room who understands Chinese and English and can translate between the two. However, you find that there is simply a person inside who has a Chinese-English dictionary, and he simply uses that book to make that translation. It turns out he does not know how to translate Chinese to English at all! John Seale presented this argument to state that <em>no computer can ever understand Chinese or English, because being able to translate Chinese into English does not mean you understand Chinese nor English</em>.</p>

<h1>My perspective</h1>

<p>My view is that the Turing test can never be passed, because the computational resources required to create a biological network surpasses the resources available in our universe. There is the billiard board problem when comparing math and science, where you can easily predict where a single billiard ball might travel, but when you add in multiple balls, the problem quickly becomes much and much more complex. My friend describes this as most &ldquo;real&rdquo; problems as having a complexity of <em>x to the x</em>. As we humans gain more computational power, we&rsquo;ll get closer and closer to solving these problems, but our power is still as of yet drastically far away from the raw computational power of the human brain. The human brain has 86 billion neurons and 85 billion nonneuronal cells. As of yet, we have only really understood a few layers of neurons at best. As we follow the path of neurons, we find that they are in a gigantic tangle, too complex for our current scientific tools to be able to inspect. I can&rsquo;t remember the specific word to describe it, but it&rsquo;s akin to having a thick, dense forest of connections that is seemingly impossible to entangle. So, somehow, our brain, with its limited amount of resources, is able to sustain a seemingly impossibly high level of computation. Because of this energy efficiency difference, there must be something fundamental to how our mind works that we have yet to discover that explains why a computer can never reach the &ldquo;intelligence&rdquo; of the human brain. However, this is why I think biomedical engineering research in the future will create huge breakthroughs in computing research. If we can uncover pieces of how the brain works as a processor, we can unlock more information about what makes us human.</p>

<p>During medical school, one of my patients was a 2-year old boy with a metabolic disorder on the verge of death. The only thing he was capable of doing was to struggle to breathe. Every moment of his life was spent twisting and turning in agony, crying, with a few moments of sleep sprinkled here and there. I often ask myself, if I compare myself, or any other person, to this suffering child, can I really consider myself more or less intelligent? My conclusion was no. No matter how many books I read, or random facts of knowledge I take in and memorize, I will never understand how to survive as well as the child, because he spent every living moment trying to survive, whereas I don&rsquo;t ever have to think about surviving. And was I any more &ldquo;human&rdquo; than the child, just because I might have been able to score higher on an IQ test, or any test for that matter? No. To me, the remarkable computational power of the human brain is not that it can compute quickly (a computer can do simple calculations much faster than we can), but its flexibility. Its ability to adapt to problems that are <em>x to the x</em>. On a side note, I&rsquo;m probably an NPC.</p>",2022-08-26 02:21:02,2022-08-27 21:56:13,1,10,"What is intelligent behavior, and what does anime have to do with artificial neural networks? In this blog post, I introduce the reader to the Turing test and the ""Chinese Room"" thought experiments, questions as to the philosophy of artificial intelligence.",https://images.pexels.com/photos/2085831/pexels-photo-2085831.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=1,0,0,0
